	~venusandadonis 5~sonnets 1~loverscomplaint 14
Pleads	~rapeoflucrece 1
Plods	~sonnets 1
Plot	~rapeoflucrece 1
Pluck	~venusandadonis 1~sonnets 1
Pluck'd	~various 1
Pluto	~rapeoflucrece 1
Pocula	~venusandadonis 1
Pointing	~sonnets 1
Points	~sonnets 1
Poor	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 10
Possessing	~sonnets 1
Post	~rapeoflucrece 1
Potions	~sonnets 1
Praising	~sonnets 1
Presents	~sonnets 1
Press	~various 1
Presume	~sonnets 1
Priam	~rapeoflucrece 6
Priam's	~rapeoflucrece 4
Prison	~sonnets 1
Proclaim'd	~loverscomplaint 1
Procure	~various 1
Profitless	~sonnets 1
Promise	~rapeoflucrece 1
Property	~various 1
Proud	~sonnets 1~loverscomplaint 1
Proving	~sonnets 1~rapeoflucrece 1
Publius	~rapeoflucrece 1
Puffs	~rapeoflucrece 1
Pure	~venusandadonis 2~rapeoflucrece 1
Pursue	~venusandadonis 1
Put	~venusandadonis 1
Pyrrhus	~rapeoflucrece 2
Quick-shifting	~rapeoflucrece 1
Quickly	~various 1
Quoth	~rapeoflucrece 2
RAPE	~rapeoflucrece 3
RIGHT	~venusandadonis 2~rapeoflucrece 1
Rain	~venusandadonis 1
Rather	~rapeoflucrece 1
Reason	~various 1~loverscomplaint 1
Receives	~rapeoflucrece 1
Receiving	~sonnets 1
Reckoning	~rapeoflucrece 1
Red	~venusandadonis 1
Religion's	~loverscomplaint 1
Religious	~loverscomplaint 1
Relish	~rapeoflucrece 1
Remove	~venusandadonis 1
Replies	~rapeoflucrece 1
Reproach	~rapeoflucrece 2
Resembling	~venusandadonis 1~sonnets 2
Reserve	~sonnets 2
Reserved	~loverscomplaint 1
Respect	~rapeoflucrece 1
Retire	~rapeoflucrece 1
Return	~sonnets 2
Revealing	~rapeoflucrece 1
Revenge	~sonnets 1~rapeoflucrece 1
Reward	~rapeoflucrece 1
Rich	~venusandadonis 1
Richer	~sonnets 1
Rise	~sonnets 1
Robb'd	~sonnets 1
Robbing	~sonnets 1
Rolling	~rapeoflucrece 1
Roman	~rapeoflucrece 8
Romans	~rapeoflucrece 2
Rome	~rapeoflucrece 9
Rome;	~rapeoflucrece 1
Root	~sonnets 1
Rose-cheek'd	~venusandadonis 1
Roses	~sonnets 2
Rot	~venusandadonis 1
Rough	~sonnets 1
Round	~venusandadonis 1
Round-hoof'd	~venusandadonis 1
Rude	~rapeoflucrece 1
Ruin	~sonnets 1
Rushing	~rapeoflucrece 1
Ruthless	~various 1
SETTING	~sonnets 1
SHAKESPEARE	~venusandadonis 1~rapeoflucrece 1
SONNETS	~various 1~sonnets 2
SOUTHAMPTON	~venusandadonis 1
SUNDRY	~various 1
Sad	~rapeoflucrece 2
Saith	~venusandadonis 1
Sap	~sonnets 1
Saturn	~sonnets 1
Savage	~sonnets 1
Save	~venusandadonis 1~various 2~sonnets 7~rapeoflucrece 3
Saw	~various 1~loverscomplaint 1
Saw'st	~venusandadonis 1
Say	~venusandadonis 3~sonnets 1
Saying	~rapeoflucrece 1
Scarce	~various 2
Scorning	~venusandadonis 1
Seasoning	~rapeoflucrece 1
See	~various 1
Seeds	~venusandadonis 1
Seeing	~venusandadonis 1~rapeoflucrece 1
Seeking	~sonnets 1
Seemeth	~various 1
Seeming	~venusandadonis 1
Seems	~sonnets 1
Self	~sonnets 1
Self-love	~rapeoflucrece 1
Self-will	~rapeoflucrece 1
Senseless	~various 1
Serve	~various 1
Servilely	~venusandadonis 1
Serving	~sonnets 1
Servius	~rapeoflucrece 1
Set	~venusandadonis 1
Sets	~sonnets 2
Sextus	~rapeoflucrece 2
Shaking	~venusandadonis 2
Shall	~venusandadonis 1~sonnets 10~rapeoflucrece 8
Shalt	~rapeoflucrece 1
Shame	~rapeoflucrece 1
Shameful	~rapeoflucrece 1
Shape	~rapeoflucrece 1
Sharp	~rapeoflucrece 1
She	~venusandadonis 27~various 12~sonnets 3~rapeoflucrece 28~loverscomplaint 2
She's	~venusandadonis 1
Sheathed	~venusandadonis 1
Shed	~rapeoflucrece 1
Shifts	~sonnets 1
Shone	~venusandadonis 1
Shook	~loverscomplaint 1
Short	~various 1~rapeoflucrece 1
Should	~venusandadonis 1
Show	~sonnets 1~rapeoflucrece 1
Show'd	~venusandadonis 1~rapeoflucrece 3
Showing	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
Shows	~venusandadonis 2~rapeoflucrece 1
Shrinks	~venusandadonis 1
Sick-thoughted	~venusandadonis 1
Sighs	~venusandadonis 1
Simois	~rapeoflucrece 2
Simple	~various 1
Simply	~sonnets 1
Sin	~sonnets 1~rapeoflucrece 2
Since	~venusandadonis 4~various 1~sonnets 15~rapeoflucrece 5~loverscomplaint 1
Sing	~sonnets 1
Single	~various 1
Sings	~sonnets 1
Sinks	~sonnets 1
Sinon	~rapeoflucrece 5
Sinon's	~rapeoflucrece 2
Siren	~sonnets 1
Sith	~venusandadonis 2
Sits	~rapeoflucrece 1
Sitting	~various 1
Slack'd	~rapeoflucrece 1
Slandering	~sonnets 1
Small	~rapeoflucrece 1~loverscomplaint 1
Smoking	~rapeoflucrece 1
Smooth	~various 1
So	~venusandadonis 16~various 3~sonnets 47~rapeoflucrece 32~loverscomplaint 3
Soft	~rapeoflucrece 1
Softer	~various 1
Some	~venusandadonis 2~sonnets 7~rapeoflucrece 7~loverscomplaint 2
Sometime	~venusandadonis 3~sonnets 2~rapeoflucrece 2~loverscomplaint 2
Sometimes	~venusandadonis 2~loverscomplaint 1
Soothing	~venusandadonis 1
Sorrow	~venusandadonis 3~various 1
Souring	~venusandadonis 1
Southampton	~rapeoflucrece 1
Spare	~various 1
Speak	~venusandadonis 1~sonnets 2
Speaking	~sonnets 1~rapeoflucrece 1
Speed	~rapeoflucrece 1
Spend'st	~sonnets 1
Spending	~sonnets 1
Spenser	~various 1
Spied	~various 1
Spurns	~venusandadonis 1
Stain	~venusandadonis 1
Stand	~venusandadonis 1
Stands	~venusandadonis 1
Staring	~rapeoflucrece 1
Statue	~venusandadonis 1
Steal	~venusandadonis 1~sonnets 1
Stealing	~sonnets 2
Still	~venusandadonis 2~sonnets 2
Stirr'd	~sonnets 1
Stone	~rapeoflucrece 1
Stone-still	~rapeoflucrece 1
Stood	~rapeoflucrece 3
Storming	~loverscomplaint 1
Straight	~sonnets 1
Stray	~venusandadonis 1
Strike	~venusandadonis 1
Strikes	~sonnets 1
Strong-tempered	~venusandadonis 1
Struck	~venusandadonis 1
Struggling	~venusandadonis 1
Study	~various 1
Stuff	~rapeoflucrece 1
Subject	~venusandadonis 1
Such	~venusandadonis 1~various 1~sonnets 5~rapeoflucrece 9
Suffering	~sonnets 1
Suggested	~rapeoflucrece 1
Suns	~sonnets 1
Superbus	~rapeoflucrece 1
Supposed	~sonnets 1
Surfeits	~venusandadonis 1
Suspect	~various 1~sonnets 1
Suspicion	~venusandadonis 1
Swear	~venusandadonis 1~sonnets 1
Swearing	~rapeoflucrece 2
Sweet	~venusandadonis 3~various 3~sonnets 5~rapeoflucrece 1
Sweetly	~loverscomplaint 1
Sweets	~sonnets 1
Swell	~rapeoflucrece 1
Swelling	~rapeoflucrece 1
Swift	~rapeoflucrece 1
T	~various 2~sonnets 2
THAT	~sonnets 1
THE	~venusandadonis 1~various 3~sonnets 2~rapeoflucrece 5
THESE	~sonnets 1
THRENOS	~various 1
TICHFIELD	~venusandadonis 1
TO	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
TURTLE	~various 1
Take	~various 1~sonnets 3~loverscomplaint 1
Taking	~venusandadonis 1
Tan	~sonnets 1
Tantalus	~venusandadonis 1~rapeoflucrece 1
Tarquin	~rapeoflucrece 23
Tarquin's	~rapeoflucrece 11
Tarquin;	~rapeoflucrece 1
Tarquinius	~rapeoflucrece 3
Tarquins	~rapeoflucrece 1
Tarquins;	~rapeoflucrece 1
Teach	~rapeoflucrece 1
Teaching	~venusandadonis 2~rapeoflucrece 1
Tearing	~loverscomplaint 1
Tears	~rapeoflucrece 1
Tell	~venusandadonis 1~sonnets 1
Tells	~venusandadonis 1
Tempteth	~various 1~sonnets 1
Ten	~venusandadonis 1~sonnets 1
Tender	~rapeoflucrece 1
Tereu	~various 1
Tereus	~rapeoflucrece 1
Th	~rapeoflucrece 2
Than	~sonnets 12~rapeoflucrece 1~loverscomplaint 1
That	~venusandadonis 24~various 17~sonnets 82~rapeoflucrece 65~loverscomplaint 10
That's	~sonnets 1~loverscomplaint 1
The	~venusandadonis 55~various 9~sonnets 81~rapeoflucrece 103~loverscomplaint 15
Thee	~sonnets 1
Their	~venusandadonis 5~sonnets 1~rapeoflucrece 7~loverscomplaint 3
Theirs	~sonnets 1
Then	~venusandadonis 10~various 6~sonnets 34~rapeoflucrece 19
Thence	~sonnets 1
There	~venusandadonis 2~various 4~sonnets 2~rapeoflucrece 2~loverscomplaint 1
Therefore	~venusandadonis 3~various 1~sonnets 8~rapeoflucrece 1
These	~venusandadonis 3~various 2~sonnets 4~rapeoflucrece 4~loverscomplaint 1
They	~venusandadonis 7~various 2~sonnets 11~rapeoflucrece 9~loverscomplaint 1
Thick-sighted	~venusandadonis 1
Thin	~venusandadonis 1~rapeoflucrece 1
Thine	~venusandadonis 1~various 1~sonnets 4~rapeoflucrece 1
Thing	~venusandadonis 1
Things	~venusandadonis 2
Think	~various 1~sonnets 1~rapeoflucrece 1
This	~venusandadonis 12~sonnets 10~rapeoflucrece 26~loverscomplaint 3
Those	~venusandadonis 1~various 1~sonnets 7~rapeoflucrece 3
Thou	~venusandadonis 5~various 4~sonnets 25~rapeoflucrece 25
Though	~venusandadonis 4~various 1~sonnets 10~rapeoflucrece 5~loverscomplaint 2
Thought	~loverscomplaint 1
Thoughts	~rapeoflucrece 1
Threatening	~rapeoflucrece 1
Three	~sonnets 4~rapeoflucrece 1
Threw	~loverscomplaint 1
Thrice-fairer	~venusandadonis 1
Throng	~rapeoflucrece 1
Through	~venusandadonis 1~various 2~sonnets 1~rapeoflucrece 4
Throwing	~venusandadonis 1~rapeoflucrece 1
Thus	~venusandadonis 5~various 3~sonnets 8~rapeoflucrece 6~loverscomplaint 1
Thy	~venusandadonis 6~various 3~sonnets 26~rapeoflucrece 18
Thyself	~sonnets 3~rapeoflucrece 1
Tichfield	~rapeoflucrece 1
Till	~venusandadonis 8~various 2~sonnets 6~rapeoflucrece 11~loverscomplaint 2
Time	~sonnets 13~rapeoflucrece 5~loverscomplaint 1
Time's	~sonnets 12~rapeoflucrece 3
Tired	~sonnets 2
Tires	~venusandadonis 1
Tis	~venusandadonis 3~sonnets 3~rapeoflucrece 5~loverscomplaint 1
Titan	~venusandadonis 1
To	~venusandadonis 34~various 20~sonnets 78~rapeoflucrece 99~loverscomplaint 11
To-morrow	~sonnets 2
Too	~sonnets 1
Torches	~venusandadonis 1
Touch	~venusandadonis 1
Touches	~various 1
Towards	~sonnets 1~loverscomplaint 1
Trees	~various 1
Trifles	~venusandadonis 1
Triumph	~sonnets 1
Troilus	~rapeoflucrece 1
Trojan	~rapeoflucrece 2
Troy	~rapeoflucrece 10
Troy's	~rapeoflucrece 1
True	~rapeoflucrece 3
Truth	~various 2~sonnets 1~rapeoflucrece 1
Tullius	~rapeoflucrece 1
Turn	~venusandadonis 1
Turning	~various 1
Turns	~rapeoflucrece 1
Twas	~various 1
Tween	~rapeoflucrece 1
Twixt	~venusandadonis 1~various 1
Two	~venusandadonis 2~various 2~sonnets 1
Ulysses	~rapeoflucrece 2
Unapt	~rapeoflucrece 1
Uncouple	~venusandadonis 1
Under	~venusandadonis 4~various 2~sonnets 2~rapeoflucrece 2
Unlearned	~sonnets 1
Unless	~venusandadonis 2~various 1~sonnets 4~rapeoflucrece 2
Unlike	~venusandadonis 1
Unlock'd	~rapeoflucrece 1
Unlook'd	~sonnets 2
Unmask	~rapeoflucrece 1
Unmoved	~sonnets 1
Unprofitable	~rapeoflucrece 1
Unruly	~rapeoflucrece 1
Unskilful	~various 1
Unthrifty	~sonnets 1
Until	~sonnets 1~rapeoflucrece 1
Untimely	~rapeoflucrece 1
Unto	~various 1~rapeoflucrece 3
Unwholesome	~rapeoflucrece 1
Upon	~venusandadonis 6~various 1~sonnets 7~rapeoflucrece 3~loverscomplaint 4
Urging	~rapeoflucrece 1
Use	~various 1~sonnets 1
Usurps	~venusandadonis 1
Uttering	~sonnets 1
V	~various 1~sonnets 1
VENUS	~venusandadonis 1
VI	~various 1~sonnets 1
VII	~various 1~sonnets 1
VIII	~various 1~sonnets 1
Valerius;	~rapeoflucrece 1
Variable	~venusandadonis 1
Vast	~rapeoflucrece 1
Vaunt	~sonnets 1
Venus	~venusandadonis 7~various 1~rapeoflucrece 1
Vilia	~venusandadonis 1
Virtue	~rapeoflucrece 2
Vouchsafe	~venusandadonis 1
Vow	~various 1
Vows	~various 1
W	~sonnets 1
WELL-WISHING	~sonnets 1
WHEN	~various 1
WILLIAM	~venusandadonis 1~rapeoflucrece 1
WISHETH	~sonnets 1
WRIOTHESLY	~venusandadonis 1~rapeoflucrece 1
Wagg'd	~rapeoflucrece 1
Wander	~various 1
Want	~sonnets 1
Wanting	~rapeoflucrece 1
Was	~venusandadonis 1~various 1~sonnets 4~rapeoflucrece 1
Wat	~venusandadonis 1
We	~sonnets 1~rapeoflucrece 3
Weak	~rapeoflucrece 1~loverscomplaint 1
Weary	~sonnets 1
Weeds	~sonnets 1
Weighs	~sonnets 1
Welcomes	~venusandadonis 1
Well	~various 1~rapeoflucrece 2~loverscomplaint 1
Well-painted	~venusandadonis 1
Were	~venusandadonis 3~various 2~sonnets 5~rapeoflucrece 2
What	~venusandadonis 19~various 2~sonnets 14~rapeoflucrece 18~loverscomplaint 8
What's	~sonnets 2~loverscomplaint 1
Whate'er	~sonnets 1
When	~venusandadonis 9~various 6~sonnets 57~rapeoflucrece 29~loverscomplaint 4
Whence	~sonnets 1
Where	~venusandadonis 4~various 3~sonnets 11~rapeoflucrece 11~loverscomplaint 2
Whereat	~venusandadonis 6~rapeoflucrece 2
Wherein	~venusandadonis 2~sonnets 2~rapeoflucrece 2
Whereon	~venusandadonis 2~sonnets 1~loverscomplaint 1
Whereto	~sonnets 3~loverscomplaint 1
Whereupon	~various 1~rapeoflucrece 1
Whether	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
Which	~venusandadonis 14~various 4~sonnets 46~rapeoflucrece 36~loverscomplaint 7
While	~venusandadonis 1~various 1~sonnets 4~rapeoflucrece 7
Whilst	~various 2~sonnets 11
Who	~venusandadonis 14~sonnets 18~rapeoflucrece 24~loverscomplaint 3
Whoe'er	~sonnets 1
Whoever	~sonnets 1~rapeoflucrece 1
Whom	~sonnets 1
Whose	~venusandadonis 12~sonnets 6~rapeoflucrece 10~loverscomplaint 4
Why	~venusandadonis 3~sonnets 12~rapeoflucrece 9
Wilder	~rapeoflucrece 1
Wildly	~rapeoflucrece 1
Will	~venusandadonis 1~sonnets 14~rapeoflucrece 8
Wilt	~sonnets 1~rapeoflucrece 1
Wish'd	~various 1
Wishing	~venusandadonis 2~sonnets 1
With	~venusandadonis 17~various 4~sonnets 18~rapeoflucrece 29~loverscomplaint 7
Within	~venusandadonis 3~sonnets 5~rapeoflucrece 3
Without	~sonnets 5~rapeoflucrece 1
Witness	~venusandadonis 2
Woe	~venusandadonis 1~rapeoflucrece 1
Won	~rapeoflucrece 1
Wonder	~venusandadonis 1
Wooing	~various 1~sonnets 1
Words	~various 1
Works	~loverscomplaint 1
Worse	~rapeoflucrece 1
Worthy	~sonnets 1
Would	~venusandadonis 5~rapeoflucrece 2~loverscomplaint 1
Wound	~sonnets 1
Wounding	~rapeoflucrece 1
Wrapp'd	~rapeoflucrece 1
Wrath	~rapeoflucrece 1
Wreathed	~venusandadonis 1
Wreck	~venusandadonis 1
Wretched	~sonnets 1
Writ	~rapeoflucrece 1
Wrought	~various 1
X	~various 1~sonnets 1
XC	~sonnets 1
XCI	~sonnets 1
XCII	~sonnets 1
XCIII	~sonnets 1
XCIV	~sonnets 1
XCIX	~sonnets 1
XCV	~sonnets 1
XCVI	~sonnets 1
XCVII	~sonnets 1
XCVIII	~sonnets 1
XI	~various 1~sonnets 1
XII	~various 1~sonnets 1
XIII	~various 1~sonnets 1
XIV	~various 1~sonnets 1
XIX	~various 1~sonnets 1
XL	~sonnets 1
XLI	~sonnets 1
XLII	~sonnets 1
XLIII	~sonnets 1
XLIV	~sonnets 1
XLIX	~sonnets 1
XLV	~sonnets 1
XLVI	~sonnets 1
XLVII	~sonnets 1
XLVIII	~sonnets 1
XV	~various 1~sonnets 1
XVI	~various 1~sonnets 1
XVII	~various 1~sonnets 1
XVIII	~various 1~sonnets 1
XX	~various 1~sonnets 1
XXI	~various 1~sonnets 1
XXII	~sonnets 1
XXIII	~sonnets 1
XXIV	~sonnets 1
XXIX	~sonnets 1
XXV	~sonnets 1
XXVI	~sonnets 1
XXVII	~sonnets 1
XXVIII	~sonnets 1
XXX	~sonnets 1
XXXI	~sonnets 1
XXXII	~sonnets 1
XXXIII	~sonnets 1
XXXIV	~sonnets 1
XXXIX	~sonnets 1
XXXV	~sonnets 1
XXXVI	~sonnets 1
XXXVII	~sonnets 1
XXXVIII	~sonnets 1
Yea	~rapeoflucrece 2
Yet	~venusandadonis 8~various 5~sonnets 19~rapeoflucrece 13~loverscomplaint 3
Yield	~rapeoflucrece 2
You	~venusandadonis 3~sonnets 7~rapeoflucrece 2
Your	~venusandadonis 2~sonnets 5~rapeoflucrece 1
Yourself	~sonnets 2
Youth	~various 8
[	~various 1~sonnets 1
]	~various 1~sonnets 1
a	~venusandadonis 133~various 53~sonnets 146~rapeoflucrece 166~loverscomplaint 29
a-billing	~venusandadonis 1
a-doting	~sonnets 1
a-shaking;	~rapeoflucrece 1
a-turning	~various 2
a-twain	~loverscomplaint 1
a-work	~rapeoflucrece 1
abate	~venusandadonis 1
abettor	~rapeoflucrece 1
abhor	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 2
abide	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
abide;	~sonnets 1~rapeoflucrece 1
able	~sonnets 1
abomination	~rapeoflucrece 1
abomination;	~rapeoflucrece 1
abominations	~rapeoflucrece 1
about	~venusandadonis 2~sonnets 1~rapeoflucrece 5
above	~venusandadonis 1~sonnets 3~loverscomplaint 1
abridgement	~rapeoflucrece 1
abroad	~loverscomplaint 2
absence	~sonnets 5~loverscomplaint 1
absent	~sonnets 3
absolute	~rapeoflucrece 1
absolution;	~rapeoflucrece 1
abstaining	~rapeoflucrece 1
abundance	~sonnets 4
abundant	~sonnets 1
abuse	~venusandadonis 2~sonnets 3~rapeoflucrece 4
abused	~sonnets 1
abused;	~rapeoflucrece 1
abuses	~sonnets 1~rapeoflucrece 2
abuses;	~rapeoflucrece 1
abusing	~rapeoflucrece 1
abysm	~sonnets 1
accent	~rapeoflucrece 1
accents	~sonnets 1~rapeoflucrece 1
acceptable	~sonnets 1
acceptance	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
accessary	~sonnets 1~rapeoflucrece 2
accident	~loverscomplaint 1
accident;	~sonnets 1
accidental	~rapeoflucrece 1
accidents	~sonnets 1
acclamation	~rapeoflucrece 1
accompanied	~rapeoflucrece 2
accomplishment	~rapeoflucrece 1
accorded	~loverscomplaint 1
according	~rapeoflucrece 1
account	~venusandadonis 1~sonnets 3
account;	~sonnets 1
accounted	~rapeoflucrece 1
accumulate;	~sonnets 1
accurst	~venusandadonis 1
accuse	~sonnets 1
accusing	~sonnets 1
ache	~venusandadonis 1~rapeoflucrece 1
achieve	~sonnets 1
acknowledge	~sonnets 1
acquaintance	~sonnets 3~rapeoflucrece 1
acquainted	~sonnets 2~rapeoflucrece 1
acquit	~rapeoflucrece 2
across	~rapeoflucrece 1
act	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 6
action	~sonnets 2~rapeoflucrece 3
action;	~sonnets 1
active	~sonnets 1
actor	~sonnets 1~rapeoflucrece 1
actors	~rapeoflucrece 1
acts	~venusandadonis 1
acture	~loverscomplaint 1
add	~sonnets 4~rapeoflucrece 1
added	~venusandadonis 1~various 1~sonnets 2
adder	~venusandadonis 1~rapeoflucrece 1
adder's	~sonnets 1
addeth	~sonnets 1
addict	~various 1
adding	~sonnets 1
addition	~sonnets 2
additions;	~loverscomplaint 1
address'd	~rapeoflucrece 1
adds	~venusandadonis 1~rapeoflucrece 1
adieu;	~sonnets 1
adjunct	~sonnets 2~rapeoflucrece 1
admiration	~rapeoflucrece 1
admire	~various 1~sonnets 1
admired	~sonnets 1~rapeoflucrece 2
admiring	~sonnets 1
admits	~rapeoflucrece 1
admitted	~sonnets 1
ado	~venusandadonis 1
adore	~various 1~sonnets 1~rapeoflucrece 1
adored	~rapeoflucrece 1
adorn	~rapeoflucrece 1
adulterate	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
advance	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
advantage	~venusandadonis 4~sonnets 2~loverscomplaint 1
adverse	~sonnets 1
advice	~loverscomplaint 1
advice;	~rapeoflucrece 1
advised	~venusandadonis 1~sonnets 1~rapeoflucrece 1
advisedly	~venusandadonis 1~rapeoflucrece 3
advocate	~sonnets 1
afar	~sonnets 1~rapeoflucrece 1
afeard	~rapeoflucrece 1
affable	~sonnets 1
affairs	~sonnets 2~rapeoflucrece 1
affected	~venusandadonis 1
affectedly	~loverscomplaint 1
affection	~rapeoflucrece 1~loverscomplaint 1
affection's	~rapeoflucrece 1
affections	~sonnets 1~loverscomplaint 3
afflicted	~loverscomplaint 1
afford	~sonnets 1~rapeoflucrece 1
affords	~sonnets 2~rapeoflucrece 1
affright	~rapeoflucrece 1
affright;	~rapeoflucrece 1
afloat	~sonnets 1
afraid	~loverscomplaint 1
afraid;	~venusandadonis 1~various 1
afresh	~sonnets 1
after	~venusandadonis 6~sonnets 8~rapeoflucrece 7
after-loss	~sonnets 1
afterwards	~sonnets 1
again	~venusandadonis 13~various 2~sonnets 10~rapeoflucrece 9~loverscomplaint 3
again;	~venusandadonis 3~rapeoflucrece 1
against	~venusandadonis 1~sonnets 8~rapeoflucrece 10
age	~venusandadonis 2~various 9~sonnets 14~rapeoflucrece 6~loverscomplaint 4
age's	~various 1~sonnets 2
age;	~sonnets 1~rapeoflucrece 1
aged	~rapeoflucrece 2
agents	~venusandadonis 1
ages	~sonnets 1
aggravate	~sonnets 1
agree	~various 1
agrees	~venusandadonis 1~rapeoflucrece 1
agues	~venusandadonis 1
ah	~various 1~sonnets 2~loverscomplaint 1
aid	~venusandadonis 1~sonnets 2~rapeoflucrece 3
aidance	~venusandadonis 1
aids	~loverscomplaint 1
aim	~venusandadonis 2~rapeoflucrece 3~loverscomplaint 1
air	~venusandadonis 4~various 1~sonnets 4~rapeoflucrece 2
air;	~rapeoflucrece 1
airy	~loverscomplaint 1
alabaster	~venusandadonis 1~rapeoflucrece 1
alack	~various 3~sonnets 2~rapeoflucrece 1
alarm	~rapeoflucrece 1
alarms	~venusandadonis 2
alarum	~rapeoflucrece 1
alarums	~venusandadonis 1
alas	~various 2~rapeoflucrece 1
alchemy	~sonnets 1
alchemy;	~sonnets 1
alien	~sonnets 1
alight	~venusandadonis 1
alike	~sonnets 1
alive	~venusandadonis 3~various 1~sonnets 2~rapeoflucrece 1
all	~venusandadonis 42~various 18~sonnets 106~rapeoflucrece 52~loverscomplaint 20
all-eating	~sonnets 1
all-hiding	~rapeoflucrece 1
all-hurting	~loverscomplaint 1
all-oblivious	~sonnets 1
all-to	~venusandadonis 1
all-too-timeless	~rapeoflucrece 1
all;	~sonnets 1~rapeoflucrece 1
allay'd	~sonnets 1
allege	~sonnets 1
allotted	~rapeoflucrece 1
allow	~sonnets 2~rapeoflucrece 1
allure	~various 1
almighty	~rapeoflucrece 1
almost	~sonnets 3~rapeoflucrece 2
alms	~rapeoflucrece 1
aloes	~loverscomplaint 1
aloft	~sonnets 1~rapeoflucrece 1
alone	~venusandadonis 2~various 2~sonnets 19~rapeoflucrece 4
alone;	~venusandadonis 1~various 1
along	~venusandadonis 2
aloof	~loverscomplaint 1
aloud	~venusandadonis 2
already	~sonnets 1~rapeoflucrece 1
altar	~loverscomplaint 1
altars	~venusandadonis 1
alter	~sonnets 1~rapeoflucrece 2
alter'd	~sonnets 2
alteration	~sonnets 1
altering	~sonnets 1
alters	~sonnets 2
although	~venusandadonis 1~sonnets 4
altogether	~rapeoflucrece 1
always	~venusandadonis 2~various 1~sonnets 1
am	~venusandadonis 7~various 2~sonnets 34~rapeoflucrece 4~loverscomplaint 1
amain	~venusandadonis 1
amaze	~venusandadonis 1
amazed	~venusandadonis 3~rapeoflucrece 2
amazes;	~venusandadonis 1
amazeth	~sonnets 1
amber	~various 1~loverscomplaint 1
ambition	~rapeoflucrece 2
ambitious	~rapeoflucrece 1
ambush	~sonnets 1~rapeoflucrece 1
amend;	~loverscomplaint 1
amended;	~rapeoflucrece 1
amending	~rapeoflucrece 1
amends	~sonnets 1~rapeoflucrece 1
amid	~venusandadonis 1
amiss	~various 1~sonnets 3
among	~venusandadonis 1~sonnets 2~rapeoflucrece 1~loverscomplaint 1
amongst	~rapeoflucrece 1
amorous	~loverscomplaint 1
amorously	~loverscomplaint 1
amplify	~loverscomplaint 1
an	~venusandadonis 10~various 7~sonnets 16~rapeoflucrece 18~loverscomplaint 1
anatomized	~rapeoflucrece 1
anchor'd	~sonnets 1
ancient	~rapeoflucrece 1
and	~venusandadonis 212~various 69~sonnets 247~rapeoflucrece 244~loverscomplaint 63
anew	~venusandadonis 1~various 1~sonnets 3
angel	~various 5~sonnets 5
anger	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
angry	~venusandadonis 3~rapeoflucrece 4
angry-chafing	~venusandadonis 1
annex'd	~sonnets 1
annexions	~loverscomplaint 1
annoy	~venusandadonis 1~sonnets 1
annoy;	~venusandadonis 1~rapeoflucrece 2
anon	~sonnets 1~loverscomplaint 1
another	~venusandadonis 5~various 1~sonnets 8~rapeoflucrece 6
another's	~various 1~sonnets 3~rapeoflucrece 1
another;	~sonnets 1
answer	~venusandadonis 4~sonnets 3~rapeoflucrece 3
answer'd	~sonnets 1
answering	~venusandadonis 1
answers	~venusandadonis 1~sonnets 1~rapeoflucrece 1
anthem	~venusandadonis 1~various 1
anticipate	~sonnets 1
antics	~rapeoflucrece 1
antique	~sonnets 5
antiquities	~rapeoflucrece 1
antiquity	~sonnets 2
any	~venusandadonis 5~sonnets 11~rapeoflucrece 2~loverscomplaint 1
apace	~loverscomplaint 1
apace;	~venusandadonis 1
apologies	~rapeoflucrece 1
appaid	~rapeoflucrece 1
appalled	~various 1
apparel	~sonnets 1
apparitions	~venusandadonis 1
appeal	~sonnets 1~rapeoflucrece 2
appear	~sonnets 3~rapeoflucrece 2~loverscomplaint 1
appear;	~sonnets 1~rapeoflucrece 2
appearance	~sonnets 1
appears	~venusandadonis 2~sonnets 1~rapeoflucrece 1~loverscomplaint 1
appertainings	~loverscomplaint 1
appetite	~venusandadonis 1~sonnets 3~rapeoflucrece 1~loverscomplaint 1
appetite;	~rapeoflucrece 1
appetites	~sonnets 1
apple	~sonnets 1
applied	~rapeoflucrece 1~loverscomplaint 1
applying	~loverscomplaint 1
approach	~venusandadonis 1~various 1
approve	~sonnets 3
apt	~venusandadonis 1~various 1
aptly	~venusandadonis 1~loverscomplaint 2
aptness	~loverscomplaint 1
aqua	~venusandadonis 1
arbitrators	~rapeoflucrece 1
arch	~rapeoflucrece 1
are	~venusandadonis 27~various 8~sonnets 65~rapeoflucrece 34~loverscomplaint 5
are;	~venusandadonis 1~sonnets 1
argument	~various 1~sonnets 5~rapeoflucrece 1
argument;	~sonnets 1
